Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF
2022,2,1345,96,1,67,H,0,28,56,16,36,24,29,15,27,21,13,7,3,13,24,59,12,35,7,8,7,15,15,10,5,1,20
2022,3,1293,78,1,59,H,0,28,54,8,25,14,22,9,23,10,12,9,2,17,21,50,7,20,10,17,10,22,8,18,3,2,18
2022,4,1388,73,1,64,H,0,24,53,5,25,20,31,6,23,14,6,7,0,17,24,47,5,14,11,15,2,26,8,15,2,1,24
2022,5,1211,92,1,50,H,0,32,60,11,23,17,21,14,26,21,13,8,5,15,21,53,3,25,5,6,6,14,8,18,3,2,20
2022,6,1417,75,1,62,A,0,33,73,8,27,1,6,15,21,23,10,12,4,13,23,51,3,15,13,13,5,22,11,17,4,0,11
2022,7,1,76,2,69,H,0,28,55,8,21,12,19,8,24,17,9,3,1,15,24,53,11,29,10,12,5,23,10,12,6,2,22
2022,8,1,75,3,37,H,0,35,62,3,13,2,4,8,33,16,10,12,4,6,15,55,7,26,0,0,7,20,7,18,2,0,9
2022,9,4,74,1,55,H,0,31,65,7,19,5,10,18,23,13,12,7,6,16,23,57,2,17,7,14,12,19,10,14,8,0,14
2022,10,1,92,3,43,H,0,37,57,8,17,10,12,9,30,26,9,6,2,8,14,47,6,25,9,9,3,11,7,15,6,0,10
2022,11,1,87,3,55,H,0,34,67,9,32,10,14,14,37,23,8,6,6,9,20,62,9,27,6,10,8,22,10,10,5,3,11
2022,12,1,89,3,39,H,0,33,61,8,23,15,18,9,32,26,9,10,2,11,15,55,2,17,7,9,9,19,6,20,4,0,14
2022,13,5,78,1,64,H,0,22,47,8,21,26,32,5,26,12,9,5,4,18,22,54,8,20,12,16,9,21,12,13,4,0,23
2022,14,1,77,6,68,A,0,31,53,9,21,6,10,5,18,17,6,7,2,18,26,53,9,26,7,12,12,20,10,11,3,1,17
2022,15,7,71,1,57,A,0,27,51,8,16,9,14,9,31,17,12,1,2,14,24,65,6,28,3,6,10,18,9,4,4,1,14
2022,18,1,66,8,61,H,0,25,50,9,22,7,7,8,27,16,18,8,3,13,22,57,11,34,6,12,11,17,16,12,10,2,14
2022,19,1,85,9,63,H,0,36,57,8,19,5,6,2,22,20,10,9,1,14,24,51,8,24,7,13,6,19,9,16,8,1,12
2022,20,1,77,10,71,A,0,29,58,10,26,9,13,4,22,19,6,10,4,19,27,50,6,22,11,18,5,28,12,13,2,2,13
2022,21,1,68,11,60,H,0,23,48,6,14,16,24,6,25,13,8,2,5,14,22,52,8,26,8,13,7,23,9,11,7,2,21
2022,22,1,76,12,73,H,1,25,57,9,25,17,18,8,21,13,9,6,1,13,28,56,10,25,7,12,9,23,13,13,7,1,19
2022,23,1240,65,1,60,H,0,22,51,9,31,12,22,8,31,13,10,1,3,16,20,60,11,36,9,9,9,27,13,6,5,0,17
2022,24,1,72,13,47,A,0,31,54,8,23,2,6,3,23,16,6,3,3,15,15,53,4,26,13,19,18,21,8,13,1,1,14
2022,25,1,74,14,63,A,0,26,60,8,25,14,14,7,28,21,4,4,1,8,22,61,13,37,6,8,12,27,14,13,3,2,14
2022,26,15,66,1,53,A,0,22,50,8,25,14,16,5,29,12,10,3,2,11,20,57,5,22,8,9,7,24,10,8,4,2,19
2022,27,16,75,1,70,A,0,27,59,15,30,6,11,10,25,19,11,6,1,22,25,51,6,14,14,21,4,25,10,11,3,2,12
2022,28,1,73,17,70,A,0,29,65,9,26,6,11,12,21,20,5,7,2,25,20,44,8,23,22,33,11,28,8,14,2,5,15
2022,29,1,75,11,69,A,0,25,53,11,26,14,21,8,26,17,9,5,3,16,24,53,4,14,17,20,5,23,5,8,4,3,16
2022,30,1,79,9,69,A,0,28,61,8,20,15,17,8,25,14,7,8,0,9,28,59,5,21,8,9,6,25,18,11,3,3,15
2022,31,1240,82,1,67,A,0,31,56,15,31,5,6,8,21,15,4,6,0,10,23,51,12,36,9,9,7,17,11,8,1,0,7
2022,32,1,76,10,73,H,0,32,59,7,21,5,9,6,18,9,6,9,0,18,21,45,9,24,22,26,6,23,11,14,2,3,15
2022,33,8,72,1,58,H,0,25,51,14,29,8,11,8,23,16,10,6,3,11,23,54,8,26,4,6,9,19,16,11,5,2,9
2022,34,1,81,14,68,H,0,32,58,14,31,3,4,6,15,17,6,9,1,9,25,55,9,23,9,12,16,21,9,14,4,3,11
2022,35,1,53,15,50,A,0,21,53,5,17,6,7,7,23,7,9,7,1,8,19,45,6,24,6,7,4,25,11,13,4,3,10
2022,36,1,77,12,72,H,0,25,50,12,25,15,17,6,21,10,5,3,0,17,26,58,6,24,14,17,13,21,12,6,3,0,17
2022,2,18,96,9,61,H,0,37,72,9,22,13,20,16,28,17,12,12,2,15,23,57,7,19,8,13,8,22,11,22,6,6,17
2022,3,19,85,9,53,H,0,27,47,10,22,21,30,6,31,15,10,3,3,14,20,60,9,28,4,6,8,18,10,12,5,1,23
2022,4,1124,92,9,47,H,0,37,78,5,21,13,21,17,34,21,12,21,8,15,18,58,2,14,9,12,8,28,9,29,6,3,21
2022,5,9,70,20,67,H,0,27,63,7,24,9,11,10,34,13,16,5,3,16,22,63,6,28,17,21,10,27,9,10,7,8,16
2022,6,21,90,9,63,H,0,34,63,7,18,15,20,9,29,19,17,10,3,15,26,63,3,17,8,11,10,24,14,18,10,4,15
2022,7,22,73,9,67,N,0,25,63,11,33,12,15,11,32,19,11,1,1,14,26,65,6,30,9,14,8,30,14,6,8,4,15
2022,8,23,75,9,66,N,0,24,55,9,22,18,26,17,22,14,13,9,1,18,25,55,5,21,11,14,10,18,14,14,5,5,19
2022,9,1116,97,9,60,H,0,40,73,4,18,13,26,13,34,22,12,16,5,17,22,55,9,21,7,15,5,26,13,25,6,1,19
2022,10,24,95,9,82,H,0,30,53,9,18,26,30,14,23,20,18,5,3,24,29,63,7,24,17,24,15,9,14,13,8,2,23
2022,12,25,106,9,70,H,0,39,73,16,32,12,13,14,23,16,5,5,6,15,25,57,3,18,17,18,8,20,6,11,3,2,18
2022,13,9,90,3,56,H,0,35,66,8,26,12,14,11,31,20,11,16,3,17,19,53,3,20,15,19,6,22,12,17,6,1,10
2022,14,26,85,9,59,H,0,32,64,8,20,13,25,14,22,17,6,12,2,9,20,48,12,27,7,10,6,23,15,23,4,4,16
2022,15,9,119,3,47,H,0,49,83,11,26,10,11,20,43,29,11,11,8,16,14,58,9,28,10,17,5,15,5,18,8,2,14
2022,16,9,79,8,72,A,0,29,57,4,16,17,19,11,33,20,18,3,2,13,28,78,8,33,8,10,18,19,12,10,11,4,19
2022,17,9,93,10,88,H,0,38,69,11,24,6,12,7,25,20,5,5,3,13,37,68,5,17,9,14,10,28,23,11,3,0,11
2022,19,9,89,11,88,H,1,27,72,6,23,29,38,13,32,12,13,9,3,29,28,66,4,21,28,34,9,33,6,15,7,3,27
2022,20,1240,86,9,81,A,0,31,59,12,25,12,14,12,27,18,20,4,6,8,35,74,8,23,3,3,12,17,22,9,12,8,12
2022,22,17,93,9,74,H,0,33,70,14,38,13,18,18,33,20,15,2,8,17,27,70,6,15,14,17,11,23,9,8,6,1,18
2022,23,12,79,9,59,H,0,29,56,7,16,14,22,10,31,15,11,7,2,13,21,63,6,28,11,12,11,23,7,11,3,0,18
2022,24,14,95,9,93,A,1,36,75,10,33,13,18,12,27,20,10,8,7,11,37,81,11,30,8,12,19,30,17,14,6,2,15
2022,25,9,79,13,75,H,0,32,67,6,17,9,16,13,22,12,14,5,2,17,26,54,5,19,18,26,8,25,15,16,11,7,15
2022,26,16,83,9,72,H,0,30,48,6,19,17,23,5,28,17,16,6,1,16,26,64,5,19,15,19,12,18,8,10,8,0,21
2022,27,9,72,1240,62,A,0,29,64,5,22,9,10,6,29,18,12,9,1,13,25,61,7,23,5,11,10,29,14,18,7,4,10
2022,29,9,83,8,76,H,0,30,66,4,19,19,22,11,34,22,16,11,4,20,27,71,8,25,14,17,12,27,15,14,6,3,19
2022,30,15,85,9,66,A,0,34,61,10,24,7,8,4,34,19,15,9,4,10,24,58,7,22,11,15,3,24,14,13,9,1,12
2022,31,9,81,11,72,A,0,31,64,7,26,12,14,11,31,13,11,7,3,12,25,65,9,27,13,16,10,24,6,10,6,0,14
2022,32,10,81,9,66,H,0,33,72,8,26,7,10,13,31,20,9,7,5,8,25,63,8,21,8,12,8,27,16,13,7,9,11
2022,33,9,74,13,73,H,0,29,71,7,28,9,10,20,24,14,11,6,5,12,28,56,9,18,8,12,6,22,15,12,9,3,10
2022,34,12,79,9,69,H,0,29,58,4,12,17,25,10,24,11,4,3,2,16,25,54,4,16,15,18,6,24,11,8,1,5,20
2022,2,8,93,3,63,H,0,38,67,14,33,3,6,10,25,19,10,9,4,15,22,58,7,23,12,14,13,22,7,15,8,1,9
2022,3,8,103,3,74,H,0,37,77,14,40,15,27,17,25,15,14,18,8,21,25,60,6,25,18,24,12,29,9,27,10,0,25
2022,4,8,77,27,71,A,0,26,67,13,33,12,19,16,23,11,12,7,1,16,29,65,5,23,8,9,14,30,14,17,3,4,18
2022,5,28,79,8,78,A,0,29,66,5,19,16,19,12,34,11,19,6,2,15,28,70,13,35,9,11,10,25,15,15,11,5,16
2022,6,8,77,29,64,H,0,26,60,9,26,16,22,12,28,13,15,3,6,21,21,52,5,18,17,26,6,26,8,14,8,2,19
2022,7,8,82,30,43,H,0,30,77,14,44,8,10,16,36,19,13,19,12,12,15,58,5,26,8,15,11,32,8,26,9,2,10
2022,8,4,80,8,77,H,0,28,60,5,23,19,31,19,15,10,8,5,4,17,27,55,14,29,9,14,13,20,20,17,6,4,26
2022,9,31,88,8,75,H,0,29,53,9,19,21,28,10,36,17,17,3,4,21,22,64,10,32,21,28,10,17,8,8,7,5,24
2022,10,32,85,8,80,H,0,29,56,7,21,20,26,8,30,13,12,3,5,9,29,71,18,51,4,7,14,23,20,13,7,1,22
2022,11,1425,80,8,68,H,0,32,59,9,25,7,13,10,36,23,18,5,3,13,23,71,10,39,12,12,12,20,12,7,11,0,14
2022,12,33,80,8,69,A,0,35,72,5,21,5,5,17,36,15,22,6,7,14,29,74,5,26,6,8,10,20,13,12,13,3,12
2022,13,8,121,3,67,H,0,42,86,25,43,12,14,20,35,31,14,15,2,13,26,64,9,21,6,7,3,24,12,24,11,1,12
2022,14,8,81,34,68,H,1,30,74,8,34,13,16,17,31,16,19,13,5,15,23,66,9,36,13,18,16,29,11,24,16,3,16
2022,16,8,106,3,52,H,0,43,83,12,33,8,13,17,31,28,13,23,3,17,19,57,4,12,10,19,12,25,10,33,9,2,14
2022,19,11,76,8,75,H,0,31,66,5,20,9,13,7,28,11,15,8,6,16,28,70,8,23,11,17,16,31,6,18,9,0,13
2022,20,1240,76,8,65,A,0,28,49,8,15,12,19,7,33,20,17,6,3,15,23,65,11,39,8,10,11,18,11,11,8,5,15
2022,21,8,86,10,72,H,0,31,69,16,37,8,11,11,26,26,7,10,8,18,26,61,9,27,11,15,11,28,17,12,2,3,12
2022,22,8,67,17,58,H,0,25,55,9,20,8,12,8,23,17,17,12,3,9,22,55,9,28,5,6,9,24,12,22,6,2,10
2022,23,14,77,8,73,H,0,28,62,8,28,13,26,16,30,13,14,7,5,17,30,65,5,22,8,16,9,24,13,9,10,0,22
2022,24,13,113,8,95,H,0,43,64,16,26,11,14,10,28,29,16,4,5,10,36,74,17,40,6,10,12,13,19,9,11,2,16
2022,25,8,82,16,81,H,3,29,66,13,35,11,16,8,30,22,14,5,1,21,33,79,9,28,6,14,20,31,21,13,8,4,18
2022,26,15,91,8,84,A,0,30,51,14,25,17,21,5,32,22,18,3,1,20,27,64,16,37,14,25,11,19,18,8,11,3,17
2022,27,12,81,8,68,H,0,29,51,6,15,17,17,8,33,17,15,1,4,12,26,73,9,35,7,9,12,12,8,3,10,4,13
2022,28,10,83,8,73,H,0,28,64,16,36,11,17,10,34,20,10,5,8,12,26,70,11,32,10,12,12,28,10,12,4,9,16
2022,29,8,80,11,76,H,1,24,71,7,27,25,31,14,23,11,7,17,2,18,29,59,10,27,8,15,12,36,13,25,3,5,24
2022,31,1240,81,8,68,H,0,33,54,11,30,4,6,5,29,22,14,5,1,13,24,63,10,35,10,13,11,17,11,7,10,1,10
2022,33,16,82,8,73,H,0,28,55,10,21,16,23,6,30,19,11,6,2,12,26,67,11,28,10,14,13,22,14,10,4,4,20
2022,8,14,94,3,57,H,0,34,65,13,33,13,22,14,36,24,14,8,4,19,22,61,6,25,7,15,8,21,8,15,6,2,16
2022,9,1260,89,14,77,H,0,33,62,8,21,15,25,14,26,23,10,6,4,19,25,61,16,34,11,20,12,24,15,15,6,5,20
2022,10,1425,78,14,61,A,0,32,65,7,17,7,15,10,30,22,6,7,2,13,22,60,8,31,9,13,10,27,14,12,4,5,12
